 258  285  392  583  586  680  834  882  959  960
 198  276  328  499  523  677  776  807  810  844
 162  187  312  318  332  361  511  521  675  787
 68  170  288  369  496  526  738  811  820  937
 235  253  303  331  362  409  620  641  752  821
 1  144  318  378  401  693  867  902  904  941
 114  124  233  259  361  364  570  627  652  951
 50  201  213  216  589  845  878  883  930  951
 42  51  65  681  767  783  823  850  861  911
 25  220  310  461  491  538  567  605  669  820
 63  69  254  396  401  442  549  573  700  971
 58  134  310  322  336  445  847  857  867  973
 148  246  356  525  551  637  673  805  823  994
 100  234  251  643  709  756  822  856  870  961
 4  36  82  261  358  471  605  649  677  710
 97  126  258  370  438  500  531  674  813  899
 13  183  208  275  287  317  391  448  620  808
 83  102  181  325  446  559  577  800  870  876
 33  38  116  260  303  352  376  492  715  785
 4  12  35  43  416  577  749  778  783  918
 68  149  198  243  286  422  440  672  725  828
 43  81  173  258  440  461  553  659  739  749
 174  211  278  338  473  517  656  755  799  985
 10  421  488  512  531  556  738  950  973  981
 7  298  378  393  431  498  714  768  789  863
 20  23  66  81  221  240  318  530  802  856
 65  143  155  253  405  438  594  719  742  950
 51  189  201  310  320  415  504  832  857  880
 191  309  346  431  496  653  697  810  846  973
 28  125  145  342  369  380  489  891  994  997
 45  60  124  538  545  599  695  760  824  935
 85  103  205  294  418  577  765  784  833  838
 89  161  440  462  504  597  616  658  752  944
 9  43  78  170  391  393  467  616  986  995
 277  343  447  518  544  761  771  793  799  836
 69  208  480  564  567  588  598  665  755  856
 7  38  112  207  215  275  324  522  544  726
 77  84  336  501  516  545  638  685  878  951
 365  490  590  595  703  705  766  771  872  927
 139  303  357  522  591  643  707  758  898  950
 11  132  318  456  567  612  806  884  930  959
 26  170  228  416  457  517  605  680  682  726
 397  399  434  462  465  690  725  763  800  898
 137  270  372  527  547  555  557  840  850  977
 188  279  303  316  377  383  606  644  699  941
 20  229  448  531  627  695  700  862  896  947
 174  194  327  422  470  482  549  654  739  803
 52  321  335  356  473  662  744  831  898  976
 260  271  336  388  406  716  832  861  906  937
 67  72  102  126  383  416  447  465  935  957
 146  170  192  354  372  378  607  641  653  682
 139  269  327  467  479  642  673  707  783  976
 56  60  122  135  141  304  531  547  589  747
 103  153  159  332  432  452  552  618  644  961
 31  298  360  368  385  406  474  609  733  902
 5  46  317  428  451  485  490  644  652  891
 41  113  206  330  347  412  473  499  655  981
 96  220  547  567  572  579  768  795  875  948
 407  421  587  627  684  772  780  888  996  998
 21  94  225  247  264  400  653  856  986  988
 19  37  57  71  74  147  152  545  762  885
 264  333  365  367  437  500  571  665  799  939
 67  81  101  333  380  418  706  796  959  978
 16  43  54  73  516  551  580  582  719  945
 205  273  413  431  440  504  514  536  607  778
 206  312  327  393  466  532  655  768  809  885
 9  52  63  254  356  379  603  670  688  821
 114  254  367  521  649  723  743  800  818  878
 136  176  199  440  522  605  614  763  820  854
 41  205  308  311  347  349  478  620  884  932
 34  101  307  377  431  613  663  707  843  914
 75  125  189  200  421  612  658  879  923  927
 60  248  270  355  452  548  644  841  859  881
 83  191  235  473  555  575  852  883  996  998
 164  241  319  336  422  645  664  716  751  830
 131  170  179  321  599  799  816  876  954  968
 124  286  321  347  434  490  574  700  702  961
 86  105  117  139  239  245  298  509  603  745
 23  104  279  406  476  704  706  783  787  892
 26  114  266  322  513  603  789  820  899  997
 32  350  429  470  483  486  657  689  774  962
 35  245  246  254  419  495  617  767  773  966
 164  324  384  567  570  762  821  884  922  984
 52  133  201  208  414  530  533  639  798  914
 123  256  259  342  349  392  524  534  600  978
 352  381  416  528  667  692  738  944  950  956
 11  27  350  481  570  583  766  810  865  973
 13  250  376  377  397  522  772  785  856  988
 18  87  131  254  394  399  511  727  805  896
 58  161  332  370  371  392  497  594  631  991
 106  213  290  297  319  471  610  618  705  979
 82  189  455  568  691  718  724  738  778  898
 87  176  224  245  271  535  567  864  906  961
 94  146  207  238  320  680  735  810  828  859
 8  88  153  292  634  666  726  836  954  990
 50  141  172  378  390  635  719  917  920  967
 46  146  238  258  422  625  671  695  822  851
 16  41  317  374  466  560  725  860  862  963
 37  64  128  197  278  415  728  748  835  963
 13  64  175  304  308  358  450  458  734  845
 16  151  218  316  356  406  542  678  870  987
 154  189  386  429  480  684  761  886  921  977
 11  149  176  380  403  482  637  705  787  903
 134  169  246  376  424  516  608  698  787  918
 34  132  436  570  586  669  739  763  767  982
 72  274  279  338  339  819  827  844  927  976
 15  180  210  463  489  527  633  663  750  752
